Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2025,1,1,258.6271523,246.8294373,238.866142,229.8254085,222.1787218,217.8903041,217.9486951,221.2431329,222.419733,231.9723518,247.7220495,261.0338535,268.477729,275.4028221,276.7301457,279.0358971,281.0000965,283.0123791,290.7557266,307.7251976,305.5473341,298.3645863,288.1407143,271.7283733
2025,1,2,250.4035157,233.798737,223.4357304,217.8373925,214.2992137,214.6795395,221.6630586,236.3825519,254.0310658,278.8641993,297.1003776,308.6239652,314.1390563,316.3814707,320.5201151,324.2354679,326.6289471,327.9179576,329.8722123,344.0957785,339.015039,328.3056962,314.4899659,292.2984121
2025,1,3,261.1388023,245.0532744,235.7296266,229.0545608,223.9305634,222.7151202,229.9787633,244.0752942,263.1822726,281.2309352,295.8782804,301.4909623,303.8750275,306.1544727,309.3787279,312.502084,314.6393285,316.288659,314.3566012,331.6645174,326.5402335,315.4927148,301.1909596,280.774511
2025,1,4,258.2440771,242.400523,230.8234308,224.4337017,221.2136241,221.022927,226.3626841,238.5883036,255.8816545,275.9708512,291.8687883,298.0156027,301.8169446,303.8466634,304.1377235,303.949979,302.9610072,303.3958575,309.1876007,321.3320536,314.0321378,302.3401615,289.1699092,271.9859777
2025,1,5,253.2789637,237.4878362,227.9722205,221.5922772,217.9288505,215.6692972,218.7011338,226.0265294,235.4007307,251.7390999,265.731992,272.3181971,276.0258778,276.7199992,279.3250233,280.1879138,283.0383626,283.9355761,289.2174206,307.5394753,304.4538855,296.426426,282.1994155,260.283852
2025,1,6,238.6957331,223.6242665,213.5794395,207.1683146,204.4535401,205.5943619,217.5330344,238.3639106,252.6843735,267.5993889,280.9547785,287.5873833,291.1190857,295.1916633,297.8660241,300.0731593,301.7801358,299.9036791,303.6946537,319.7241727,317.2610091,306.9832569,290.0310976,264.0705318
2025,1,7,239.9243513,225.1595172,215.2736255,210.5419847,207.4575576,208.7475133,219.4331347,238.8910555,254.0931591,266.5881879,278.3258737,282.8285432,284.7825629,285.343823,286.8850116,287.2822489,290.7059526,293.4584716,299.9015104,318.0014464,314.4201858,304.7864893,287.792184,261.7998312
2025,1,8,237.950201,222.6460051,212.7707581,207.0677736,204.6276274,205.4097699,216.562039,236.7599829,252.9108793,263.5443243,272.8729106,278.3215681,281.1051021,283.8626786,282.3900242,284.5052893,288.3647501,289.9080748,294.9800308,314.8242923,314.2298576,305.0402912,289.6935845,264.5036516
2025,1,9,240.8245491,225.045382,216.2689902,209.6363852,207.2286631,208.812663,221.8563303,241.3268469,256.5129303,268.1450654,276.9786832,281.9923838,285.799526,288.3249673,290.5931914,294.7207396,297.3607021,298.8451232,301.9825888,318.9336155,316.4903263,307.1211614,292.4076453,266.7951797
2025,1,10,241.5418582,226.5975245,217.2818644,211.4728608,208.3569377,209.9724933,221.9974739,242.3167791,253.2845271,267.1640951,283.1619233,285.1274305,288.8878308,291.9028471,295.5332376,298.7856352,301.0078828,300.9440806,300.5432314,315.2013271,312.6337223,301.9235982,288.086933,265.9491766
2025,1,11,243.5581758,226.9337088,217.5866868,210.8696309,207.1724548,207.636762,213.8292863,226.4689562,242.6487031,262.3167733,278.6210756,287.3712462,289.9488597,290.0290122,289.8704501,290.3555029,291.7610466,293.5302044,295.8172384,310.8783835,306.4403005,295.1151824,281.3527677,261.1475544
2025,1,12,242.4409329,228.0340959,217.1657935,209.5080874,206.1403682,205.0950539,208.1707428,214.4588706,224.4773153,241.4112695,254.9338861,262.0109226,265.5912598,267.3328184,270.6301997,273.6701421,276.5202612,280.007828,283.1024799,301.149542,299.8385796,291.556438,278.5750127,256.2470153
2025,1,13,235.1240393,219.6509087,211.1801923,206.8604476,203.9454457,204.8855149,215.7813029,235.9551828,251.0412725,263.8991945,276.051783,284.7847915,288.2536641,289.8527082,292.3715331,295.460191,299.208738,300.5186962,301.9657529,319.7517301,319.1352194,310.2729257,295.2532134,268.4683752
